development-1	FALSE	TRUE
development-2	FALSE	TRUE
development-3	FALSE	TRUE
development-4	FALSE	TRUE
development-5	TRUE	FALSE
development-6	TRUE	FALSE
development-7	TRUE	FALSE
development-8	FALSE	TRUE
development-9	TRUE	FALSE
development-10	FALSE	TRUE
development-11	FALSE	TRUE
development-12	FALSE	TRUE
development-13	TRUE	FALSE
development-14	FALSE	TRUE
development-15	TRUE	FALSE
development-16	FALSE	TRUE
development-17	FALSE	TRUE
development-18	TRUE	FALSE
development-19	TRUE	FALSE
development-20	FALSE	TRUE
development-21	FALSE	TRUE
development-22	TRUE	FALSE
development-23	TRUE	FALSE
development-24	TRUE	FALSE
development-25	FALSE	TRUE
development-26	FALSE	TRUE
development-27	FALSE	TRUE
development-28	TRUE	FALSE
development-29	FALSE	TRUE
development-30	TRUE	FALSE
development-31	FALSE	TRUE
development-32	FALSE	TRUE
development-33	FALSE	TRUE
development-34	TRUE	FALSE
development-35	FALSE	TRUE
development-36	FALSE	TRUE
development-37	FALSE	TRUE
development-38	TRUE	FALSE
development-39	TRUE	FALSE
development-40	FALSE	TRUE
development-41	FALSE	FALSE
development-42	FALSE	TRUE
development-43	FALSE	TRUE
development-44	FALSE	TRUE
development-45	FALSE	TRUE
development-46	FALSE	TRUE
development-47	FALSE	TRUE
development-48	FALSE	TRUE
development-49	FALSE	TRUE
development-50	FALSE	TRUE
development-51	FALSE	FALSE
development-52	FALSE	TRUE
development-53	TRUE	FALSE
development-54	FALSE	TRUE
development-55	FALSE	TRUE
development-56	FALSE	TRUE
development-57	FALSE	TRUE
development-58	TRUE	FALSE
development-59	FALSE	TRUE
development-60	TRUE	FALSE
development-61	FALSE	TRUE
development-62	FALSE	FALSE
development-63	FALSE	TRUE
development-64	FALSE	TRUE
development-65	TRUE	FALSE
development-66	FALSE	TRUE
development-67	FALSE	TRUE
development-68	TRUE	FALSE
development-69	FALSE	TRUE
development-70	FALSE	TRUE
development-71	FALSE	TRUE
development-72	TRUE	FALSE
development-73	FALSE	TRUE
development-74	TRUE	FALSE
development-75	FALSE	FALSE
development-76	FALSE	TRUE
development-77	FALSE	TRUE
development-78	FALSE	TRUE
development-79	FALSE	TRUE
development-80	FALSE	TRUE
development-81	FALSE	TRUE
development-82	TRUE	FALSE
development-83	TRUE	FALSE
development-84	FALSE	TRUE
development-85	TRUE	FALSE
development-86	FALSE	TRUE
development-87	FALSE	TRUE
development-88	FALSE	TRUE
development-89	FALSE	TRUE
development-90	FALSE	TRUE
development-91	FALSE	TRUE
development-92	FALSE	FALSE
development-93	FALSE	TRUE
development-94	FALSE	TRUE
development-95	TRUE	FALSE
development-96	FALSE	TRUE
development-97	FALSE	TRUE
development-98	FALSE	TRUE
development-99	FALSE	TRUE
development-100	TRUE	FALSE
development-101	FALSE	TRUE
development-102	TRUE	FALSE
development-103	FALSE	TRUE
development-104	FALSE	TRUE
development-105	TRUE	FALSE
development-106	FALSE	TRUE
development-107	TRUE	FALSE
development-108	FALSE	TRUE
development-109	FALSE	TRUE
development-110	FALSE	TRUE
development-111	FALSE	TRUE
development-112	FALSE	TRUE
development-113	FALSE	TRUE
development-114	FALSE	TRUE
development-115	FALSE	TRUE
development-116	FALSE	TRUE
development-117	FALSE	TRUE
development-118	TRUE	FALSE
development-119	FALSE	TRUE
development-120	TRUE	FALSE
development-121	FALSE	TRUE
development-122	FALSE	TRUE
development-123	FALSE	TRUE
development-124	FALSE	TRUE
development-125	FALSE	TRUE
development-126	FALSE	TRUE
development-127	FALSE	TRUE
development-128	FALSE	TRUE
development-129	FALSE	TRUE
development-130	FALSE	TRUE
development-131	FALSE	TRUE
development-132	FALSE	TRUE
development-133	FALSE	TRUE
development-134	FALSE	FALSE
development-135	FALSE	TRUE
development-136	TRUE	FALSE
development-137	TRUE	FALSE
development-138	FALSE	TRUE
development-139	FALSE	TRUE
development-140	TRUE	FALSE
development-141	TRUE	FALSE
development-142	TRUE	FALSE
development-143	FALSE	TRUE
development-144	FALSE	TRUE
development-145	FALSE	TRUE
development-146	TRUE	FALSE
development-147	FALSE	FALSE
development-148	TRUE	FALSE
development-149	FALSE	TRUE
development-150	TRUE	FALSE
development-151	FALSE	TRUE
development-152	FALSE	TRUE
development-153	FALSE	FALSE
development-154	TRUE	FALSE
development-155	TRUE	FALSE
development-156	FALSE	TRUE
development-157	FALSE	TRUE
development-158	TRUE	FALSE
development-159	TRUE	FALSE
development-160	FALSE	TRUE
development-161	FALSE	TRUE
development-162	FALSE	TRUE
development-163	FALSE	TRUE
